,WSI,TEXT,X,Y,N_ANN
0,CMU-1-Small-Region,0_CMU-1-Small-Region,1109,2302,test
1,CMU-1-Small-Region,0_CMU-1-Small-Region,1187,2488,test
2,CMU-1-Small-Region,0_CMU-1-Small-Region,963,1990,test
3,CMU-1-Small-Region,0_CMU-1-Small-Region,963,2255,test
4,CMU-1-Small-Region,1_CMU-1-Small-Region,1066,2217,test
5,CMU-1-Small-Region,1_CMU-1-Small-Region,1121,2335,test
6,CMU-1-Small-Region,1_CMU-1-Small-Region,1162,2454,test
7,CMU-1-Small-Region,1_CMU-1-Small-Region,986,2276,test
8,CMU-1-Small-Region,2_CMU-1-Small-Region,1054,2295,test
9,CMU-1-Small-Region,2_CMU-1-Small-Region,1065,2154,test
10,CMU-1-Small-Region,2_CMU-1-Small-Region,931,1966,test
11,CMU-1-Small-Region,2_CMU-1-Small-Region,997,2318,test
12,CMU-1-Small-Region,3_CMU-1-Small-Region,1145,2383,test
13,CMU-1-Small-Region,3_CMU-1-Small-Region,1195,2368,test
14,CMU-1-Small-Region,3_CMU-1-Small-Region,978,2383,test
15,CMU-1-Small-Region,3_CMU-1-Small-Region,997,2044,test
16,CMU-1-Small-Region,4_CMU-1-Small-Region,1011,2299,test
17,CMU-1-Small-Region,4_CMU-1-Small-Region,1043,2411,test
18,CMU-1-Small-Region,4_CMU-1-Small-Region,1044,2223,test
19,CMU-1-Small-Region,4_CMU-1-Small-Region,1200,2384,test
20,CMU-1-Small-Region,5_CMU-1-Small-Region,1059,2060,test
21,CMU-1-Small-Region,5_CMU-1-Small-Region,1066,2277,test
22,CMU-1-Small-Region,5_CMU-1-Small-Region,974,2039,test
23,CMU-1-Small-Region,5_CMU-1-Small-Region,982,2368,test
24,CMU-1-Small-Region,6_CMU-1-Small-Region,1027,2410,test
25,CMU-1-Small-Region,6_CMU-1-Small-Region,1062,2193,test
26,CMU-1-Small-Region,6_CMU-1-Small-Region,1182,2329,test
27,CMU-1-Small-Region,6_CMU-1-Small-Region,945,2251,test
28,CMU-1-Small-Region,7_CMU-1-Small-Region,1118,2193,test
29,CMU-1-Small-Region,7_CMU-1-Small-Region,1161,2186,test
30,CMU-1-Small-Region,7_CMU-1-Small-Region,1196,2494,test
31,CMU-1-Small-Region,7_CMU-1-Small-Region,968,2268,test
32,CMU-1-Small-Region,8_CMU-1-Small-Region,1050,2335,test
33,CMU-1-Small-Region,8_CMU-1-Small-Region,1056,2485,test
34,CMU-1-Small-Region,8_CMU-1-Small-Region,1081,2384,test
35,CMU-1-Small-Region,8_CMU-1-Small-Region,968,2378,test
36,CMU-1-Small-Region,9_CMU-1-Small-Region,1037,2427,test
37,CMU-1-Small-Region,9_CMU-1-Small-Region,1098,2153,test
38,CMU-1-Small-Region,9_CMU-1-Small-Region,934,2067,test
39,CMU-1-Small-Region,9_CMU-1-Small-Region,980,2337,test
